DATE,FLOOD,SEVERITY,RAINFALL,DURATION_DAY_INDEX
24-10-2005,0,0,5,0
25-10-2005,0,0,12,0
26-10-2005,0,0,8,0
27-10-2005,1,7,273,1
28-10-2005,1,8,150,2
29-10-2005,1,7,80,3
30-10-2005,1,5,40,4
31-10-2005,1,3,15,5
01-11-2005,0,0,4,0
28-11-2015,0,0,2,0
29-11-2015,0,0,5,0
30-11-2015,0,0,12,0
01-12-2015,1,8,180,1
02-12-2015,1,10,494,2
03-12-2015,1,10,110,3
04-12-2015,1,9,40,4
05-12-2015,1,9,10,5
06-12-2015,1,8,5,6
07-12-2015,1,7,0,7
08-12-2015,1,6,0,8
09-12-2015,1,5,0,9
10-12-2015,1,5,0,10
11-12-2015,1,4,0,11
12-12-2015,1,4,0,12
13-12-2015,1,3,0,13
14-12-2015,1,2,0,14
15-12-2015,1,1,0,15
16-12-2015,0,0,0,0
05-11-2021,0,0,2,0
06-11-2021,0,0,10,0
07-11-2021,1,8,215,1
08-11-2021,1,7,110,2
09-11-2021,1,7,60,3
10-11-2021,1,6,90,4
11-11-2021,1,6,40,5
12-11-2021,1,4,10,6
13-11-2021,0,0,5,0
01-12-2023,0,0,5,0
02-12-2023,0,0,15,0
03-12-2023,1,5,120,1
04-12-2023,1,10,340,2
05-12-2023,1,9,80,3
06-12-2023,1,7,10,4
07-12-2023,1,5,0,5
08-12-2023,0,0,0,0
,,,,
